CourseID,CourseName,PlatformID,Duration,CreationDate,Tags,Photo,Active
1,step,1,236,2009-02-01,engineering,"{\"UserID\": 31, \"PlatformID\": 9, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
2,sometimes,1,297,2009-04-29,communication,"{\"UserID\": 205, \"PlatformID\": 2, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
3,way,3,196,2008-11-02,design,"{\"UserID\": 330, \"PlatformID\": 8, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
4,power,4,86,2009-04-14,programming,"{\"UserID\": 521, \"PlatformID\": 6, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
5,history,7,248,2008-12-04,design,"{\"UserID\": 505, \"PlatformID\": 4, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
6,all,1,236,2008-08-20,programming,"{\"UserID\": 650, \"PlatformID\": 1, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
7,these,9,200,2009-03-25,science,"{\"UserID\": 523, \"PlatformID\": 5, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
8,job,3,202,2009-05-22,communication,"{\"UserID\": 922, \"PlatformID\": 9, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
9,low,7,156,2008-12-29,science,"{\"UserID\": 859, \"PlatformID\": 2, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
10,official,10,178,2009-07-31,science,"{\"UserID\": 172, \"PlatformID\": 2, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
11,drop,5,219,2009-04-09,design,"{\"UserID\": 641, \"PlatformID\": 7, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
12,reduce,4,96,2009-02-10,engineering,"{\"UserID\": 876, \"PlatformID\": 10, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
13,set,9,285,2008-10-21,programming,"{\"UserID\": 82, \"PlatformID\": 10, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
14,through,1,64,2009-01-21,programming,"{\"UserID\": 535, \"PlatformID\": 1, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
15,serve,7,177,2008-08-25,programming,"{\"UserID\": 508, \"PlatformID\": 10, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
16,cause,9,239,2008-11-19,communication,"{\"UserID\": 898, \"PlatformID\": 7, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
17,everyone,10,273,2009-06-07,engineering,"{\"UserID\": 578, \"PlatformID\": 2, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
18,less,10,120,2008-09-06,communication,"{\"UserID\": 675, \"PlatformID\": 3, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
19,rate,5,164,2008-10-17,engineering,"{\"UserID\": 580, \"PlatformID\": 2, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
20,worker,7,48,2009-05-15,science,"{\"UserID\": 161, \"PlatformID\": 9, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
21,unit,10,117,2009-02-19,design,"{\"UserID\": 320, \"PlatformID\": 6, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
22,shoulder,10,294,2008-12-05,programming,"{\"UserID\": 472, \"PlatformID\": 5, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
23,style,2,168,2009-05-25,science,"{\"UserID\": 146, \"PlatformID\": 6, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
24,social,5,76,2009-04-23,programming,"{\"UserID\": 16, \"PlatformID\": 1, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
25,present,5,225,2008-11-09,programming,"{\"UserID\": 535, \"PlatformID\": 1, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
26,special,6,236,2009-06-18,programming,"{\"UserID\": 632, \"PlatformID\": 6, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
27,read,9,294,2008-08-22,programming,"{\"UserID\": 44, \"PlatformID\": 6, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
28,option,10,300,2009-03-03,engineering,"{\"UserID\": 289, \"PlatformID\": 9, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
29,analysis,6,102,2009-01-10,engineering,"{\"UserID\": 790, \"PlatformID\": 7, \"ImageObject\": \"https://images.pling.com/img/00/00/48/70/84/1220648/e4fff450a6306e045f5c26801ce31c3efaeb.jpg\"}",true
