CertificationID,UserID,CourseID,CompletionDuration,CompletionDate,Active
1,654,6,188,2020-09-21,true
3,349,124,150,2020-11-13,true
4,733,18,259,2020-12-25,true
5,518,133,187,2020-11-11,true
6,768,1,260,2020-10-21,true
9,285,88,104,2020-12-27,true
10,576,89,285,2020-11-19,true
13,774,123,69,2020-09-17,true
16,12,19,142,2020-11-06,true
23,230,18,166,2020-10-14,true
26,847,7,280,2020-10-07,true
27,909,37,247,2020-10-13,true
28,292,97,262,2020-11-27,true
29,706,98,269,2020-09-12,true
32,306,52,131,2020-12-13,true
34,745,120,234,2020-12-31,true
35,717,133,212,2020-11-08,true
36,608,54,225,2020-10-19,true
42,825,12,297,2020-10-23,true
44,286,100,296,2020-08-19,true
47,338,59,130,2020-10-24,true
48,97,74,106,2020-12-19,true
49,437,20,145,2020-11-12,true
52,645,80,280,2020-11-03,true
55,694,135,174,2020-10-24,true
67,100,58,210,2020-10-05,true
68,437,149,140,2020-09-15,true
76,249,84,213,2020-11-16,true
78,915,72,160,2020-09-06,true
81,623,89,242,2020-09-12,true
82,826,77,205,2020-11-03,true
83,762,140,215,2020-12-01,true
85,504,24,151,2020-10-23,true
88,526,97,138,2020-11-22,true
89,243,68,219,2020-08-06,true
90,141,32,161,2020-10-14,true
96,255,86,62,2020-08-01,true
98,734,28,203,2020-12-16,true
