TrainingID,UserID,CourseID,Status,CompletionPercentage,StartDate,FinishDate,LastUpdated,Active
5,880,143,in progress,0.2,2020-10-29,2020-11-15,2021-01-02,true
7,167,78,in progress,0.29,2020-10-26,2021-05-04,2021-06-26,true
9,405,40,in progress,0.97,2020-08-09,2020-09-13,2021-06-11,true
10,464,133,in progress,0.82,2020-10-26,2020-08-06,2020-12-23,true
11,280,84,in progress,0.62,2020-10-15,2021-03-04,2020-11-15,true
12,913,96,in progress,0.52,2020-11-25,2020-11-10,2020-09-13,true
17,138,76,in progress,0.37,2020-10-28,2021-02-05,2021-01-10,true
18,824,116,in progress,0.79,2020-08-21,2021-07-11,2021-01-07,true
22,952,6,in progress,0.04,2020-08-28,2021-03-17,2021-03-10,true
25,629,54,in progress,0.39,2020-09-27,2020-12-28,2021-04-10,true
26,383,113,in progress,0.62,2020-10-14,2021-06-30,2021-01-29,true
28,312,19,in progress,0.26,2020-10-27,2020-09-05,2021-05-28,true
32,488,51,in progress,0.07,2020-12-05,2021-04-24,2021-02-17,true
36,11,99,in progress,0.1,2020-08-17,2020-11-06,2021-03-09,true
37,548,57,in progress,0.82,2020-08-03,2021-03-23,2021-06-04,true
39,651,82,in progress,0.82,2020-12-08,2021-06-25,2020-10-13,true
45,464,30,in progress,0.78,2020-09-06,2020-08-21,2021-06-03,true
48,54,101,in progress,0.07,2020-10-16,2020-11-18,2021-07-09,true
50,795,43,in progress,1.0,2020-11-29,2020-12-21,2021-03-02,true
52,424,17,in progress,0.08,2020-08-04,2021-03-31,2020-10-19,true
53,554,74,in progress,0.76,2020-12-31,2021-03-08,2020-10-13,true
55,872,70,in progress,0.06,2020-11-28,2020-10-15,2021-02-10,true
57,979,64,in progress,0.21,2020-11-30,2021-02-17,2020-12-17,true
62,558,48,in progress,0.13,2020-11-02,2020-08-03,2021-07-28,true
63,377,114,in progress,0.98,2020-08-28,2021-04-22,2021-03-19,true
64,117,9,in progress,0.2,2020-12-30,2021-02-04,2021-05-14,true
70,83,96,in progress,0.66,2020-12-26,2020-11-08,2021-05-05,true
72,37,126,in progress,0.78,2020-11-08,2020-11-27,2020-08-10,true
74,647,87,in progress,0.11,2020-08-15,2020-10-26,2021-03-08,true
75,814,10,in progress,0.35,2020-09-11,2020-08-15,2021-04-03,true
76,225,145,in progress,0.59,2020-10-03,2021-06-03,2020-10-06,true
77,549,128,in progress,0.21,2020-11-26,2020-10-30,2020-09-22,true
78,240,117,in progress,0.1,2020-10-02,2021-03-20,2020-10-12,true
80,4,117,in progress,0.31,2020-08-30,2021-02-11,2021-02-08,true
85,880,143,in progress,0.2,2020-10-29,2020-11-15,2021-01-02,true
87,167,78,in progress,0.29,2020-10-26,2021-05-04,2021-06-26,true
89,405,40,in progress,0.97,2020-08-09,2020-09-13,2021-06-11,true
90,464,133,in progress,0.82,2020-10-26,2020-08-06,2020-12-23,true
91,280,84,in progress,0.62,2020-10-15,2021-03-04,2020-11-15,true
92,913,96,in progress,0.52,2020-11-25,2020-11-10,2020-09-13,true
97,138,76,in progress,0.37,2020-10-28,2021-02-05,2021-01-10,true
98,824,116,in progress,0.79,2020-08-21,2021-07-11,2021-01-07,true
102,952,6,in progress,0.04,2020-08-28,2021-03-17,2021-03-10,true
105,629,54,in progress,0.39,2020-09-27,2020-12-28,2021-04-10,true
106,383,113,in progress,0.62,2020-10-14,2021-06-30,2021-01-29,true
108,312,19,in progress,0.26,2020-10-27,2020-09-05,2021-05-28,true
112,488,51,in progress,0.07,2020-12-05,2021-04-24,2021-02-17,true
116,11,99,in progress,0.1,2020-08-17,2020-11-06,2021-03-09,true
117,548,57,in progress,0.82,2020-08-03,2021-03-23,2021-06-04,true
119,651,82,in progress,0.82,2020-12-08,2021-06-25,2020-10-13,true
125,464,30,in progress,0.78,2020-09-06,2020-08-21,2021-06-03,true
128,54,101,in progress,0.07,2020-10-16,2020-11-18,2021-07-09,true
130,795,43,in progress,1.0,2020-11-29,2020-12-21,2021-03-02,true
132,424,17,in progress,0.08,2020-08-04,2021-03-31,2020-10-19,true
133,554,74,in progress,0.76,2020-12-31,2021-03-08,2020-10-13,true
135,872,70,in progress,0.06,2020-11-28,2020-10-15,2021-02-10,true
137,979,64,in progress,0.21,2020-11-30,2021-02-17,2020-12-17,true
142,558,48,in progress,0.13,2020-11-02,2020-08-03,2021-07-28,true
143,377,114,in progress,0.98,2020-08-28,2021-04-22,2021-03-19,true
144,117,9,in progress,0.2,2020-12-30,2021-02-04,2021-05-14,true
150,83,96,in progress,0.66,2020-12-26,2020-11-08,2021-05-05,true
152,37,126,in progress,0.78,2020-11-08,2020-11-27,2020-08-10,true
154,647,87,in progress,0.11,2020-08-15,2020-10-26,2021-03-08,true
155,814,10,in progress,0.35,2020-09-11,2020-08-15,2021-04-03,true
156,225,145,in progress,0.59,2020-10-03,2021-06-03,2020-10-06,true
157,549,128,in progress,0.21,2020-11-26,2020-10-30,2020-09-22,true
158,240,117,in progress,0.1,2020-10-02,2021-03-20,2020-10-12,true
160,4,117,in progress,0.31,2020-08-30,2021-02-11,2021-02-08,true
